execution_unit_key,logical_execution_index,net_id,iteration,tool_kind,component_path,origin_op_name,origin_op_type_name,resolved_op_type_name,primitive_id,original_primitive_id,primitive_type,implementation,exec_id,is_input,is_output,dispatch_count,kernel_entry_count,kernel_entries,primary_metric_name,primary_metric_total,primary_metric_unit,gtpin_invocation_count,gtpin_total_execution_cycles
n1_i9,9,1,9,performance,(root),/model/And,LogicalAnd,LogicalAnd,logicaland:/model/And,logicaland:/model/And,eltwise,generic_eltwise_ref__u8,270,false,false,1,1,generic_eltwise_ref_12613916656436061640_0_0__sa,gtpin_total_execution_cycles,42688,cycles,8,42688
n1_i9,9,1,9,performance,(root),/model/And_1,LogicalAnd,LogicalAnd,logicaland:/model/And_1,logicaland:/model/And_1,eltwise,generic_eltwise_ref__u8,287,false,false,1,1,generic_eltwise_ref_9810887907610228330_0_0__sa,gtpin_total_execution_cycles,48976,cycles,8,48976
n1_i9,9,1,9,performance,(root),/model/Gather_4,Gather,Gather,gather:/model/Gather_4,gather:/model/Gather_4,gather,gather_ref__u8,276,false,false,1,1,gather_ref_3335901000044472670_0_0__sa,gtpin_total_execution_cycles,10551,cycles,1,10551
n1_i9,9,1,9,performance,(root),/model/LessOrEqual,LessEqual,LessEqual,lessequal:/model/LessOrEqual,lessequal:/model/LessOrEqual,eltwise,generic_eltwise_ref__i32,265,false,false,1,1,generic_eltwise_ref_12991517841348968924_0_0__sa,gtpin_total_execution_cycles,33104,cycles,8,33104
n1_i9,9,1,9,performance,embed_tokens,/model/embed_tokens/Gather,Gather,Gather,gather:/model/embed_tokens/Gather,gather:/model/embed_tokens/Gather,gather,gather_ref__f16,229,false,false,1,1,gather_ref_9653281298055295004_0_0__sa,gtpin_total_execution_cycles,4580524,cycles,1024,4580524
n1_i9,9,1,9,performance,layers.*/input_layernorm,/model/layers.0/input_layernorm/Mul,RMS,RMS,rms:/model/layers.0/input_layernorm/Mul,rms:/model/layers.0/input_layernorm/Mul,rms,rms_gpu_bfyx_opt__f16,232,false,false,1,1,rms_gpu_bfyx_opt_10690270683970839748_0_0__sa,gtpin_total_execution_cycles,2145772,cycles,256,2145772
n1_i9,9,1,9,performance,layers.*/mlp,/model/layers.0/mlp/down_proj/MatMul,FullyConnected,FullyConnected,fullyconnected:/model/layers.0/mlp/down_proj/MatMul,fullyconnected:/model/layers.0/mlp/down_proj/MatMul,fully_connected,fully_connected_gpu_bf_tiled__f16,311,false,false,1,1,fully_connected_gpu_bf_tiled_2727911967636154657_0_0,gtpin_total_execution_cycles,81349124,cycles,64,81349124
n1_i9,9,1,9,performance,layers.*/mlp,/model/layers.0/mlp/gate_proj/MatMul,FullyConnected,FullyConnected,fullyconnected:/model/layers.0/mlp/gate_proj/MatMul,fullyconnected:/model/layers.0/mlp/gate_proj/MatMul,fully_connected,fully_connected_gpu_bf_tiled__f16,310,false,false,1,1,fully_connected_gpu_bf_tiled_9957149419786459120_0_0,gtpin_total_execution_cycles,116100896,cycles,176,116100896
n1_i9,9,1,9,performance,layers.*/mlp,/model/layers.0/mlp/up_proj/MatMul,FullyConnected,FullyConnected,fullyconnected:/model/layers.0/mlp/up_proj/MatMul,fullyconnected:/model/layers.0/mlp/up_proj/MatMul,fully_connected,fully_connected_gpu_bf_tiled__f16,309,false,false,1,1,fully_connected_gpu_bf_tiled_2740906288179525049_0_0,gtpin_total_execution_cycles,105315300,cycles,176,105315300
n1_i9,9,1,9,performance,layers.*/post_attention_layernorm,/model/layers.0/post_attention_layernorm/Mul,RMS,RMS,rms:/model/layers.0/post_attention_layernorm/Mul,rms:/model/layers.0/post_attention_layernorm/Mul,rms,rms_gpu_bfyx_opt__f16,308,false,false,1,1,rms_gpu_bfyx_opt_10690270683970839748_0_0__sa,gtpin_total_execution_cycles,1881360,cycles,256,1881360
n1_i9,9,1,9,performance,layers.*/self_attn,/model/layers.0/self_attn/Add,RoPE,RoPE,rope:/model/layers.0/self_attn/Add,rope:/model/layers.0/self_attn/Add,rope,ocl::rope::opt___f16,286,false,false,1,1,rope_opt__13889706310558783765__sa,gtpin_total_execution_cycles,1054484,cycles,64,1054484
n1_i9,9,1,9,performance,layers.*/self_attn,/model/layers.0/self_attn/Add_1,RoPE,RoPE,rope:/model/layers.0/self_attn/Add_1,rope:/model/layers.0/self_attn/Add_1,rope,ocl::rope::opt___f16,285,false,false,1,1,rope_opt__6960924190377492479__sa,gtpin_total_execution_cycles,80048,cycles,8,80048
