execution_unit_key,logical_execution_index,net_id,iteration,node_id,parent_node_id,node_type,display_name,component_path,origin_op_name,resolved_op_type_name,primitive_id,primitive_type,implementation,kernel_entry,tool_kind,primary_metric_name,primary_metric_total,primary_metric_unit,dispatch_count,gtpin_invocation_count,gtpin_total_execution_cycles
n1_i0,0,1,0,n1_i0::component_group::(root),,component_group,(root),(root),,,,,,,performance,gtpin_total_execution_cycles,5726191798,cycles,9,2284,5726191798
n1_i0,0,1,0,n1_i0::component_group::embed_tokens,,component_group,embed_tokens,embed_tokens,,,,,,,performance,gtpin_total_execution_cycles,5224202,cycles,1,1024,5224202
n1_i0,0,1,0,n1_i0::component_group::layers.*/input_layernorm,,component_group,layers.*/input_layernorm,layers.*/input_layernorm,,,,,,,performance,gtpin_total_execution_cycles,40031442,cycles,22,5632,40031442
n1_i0,0,1,0,n1_i0::component_group::layers.*/mlp,,component_group,layers.*/mlp,layers.*/mlp,,,,,,,performance,gtpin_total_execution_cycles,11715785938,cycles,66,13024,11715785938
n1_i0,0,1,0,n1_i0::component_group::layers.*/post_attention_layernorm,,component_group,layers.*/post_attention_layernorm,layers.*/post_attention_layernorm,,,,,,,performance,gtpin_total_execution_cycles,44472818,cycles,22,5632,44472818
n1_i0,0,1,0,n1_i0::component_group::layers.*/self_attn,,component_group,layers.*/self_attn,layers.*/self_attn,,,,,,,performance,gtpin_total_execution_cycles,2465140149,cycles,376,123080,2465140149
n1_i0,0,1,0,n1_i0::component_group::rotary_emb,,component_group,rotary_emb,rotary_emb,,,,,,,performance,gtpin_total_execution_cycles,515779,cycles,6,99,515779
n1_i0,0,1,0,n1_i0::kernel::broadcast:/model/layers.0/self_attn/Expand::broadcast_gpu_ref_6456514822857321615_0_0__sa,n1_i0::primitive::broadcast:/model/layers.0/self_attn/Expand,kernel,broadcast_gpu_ref_6456514822857321615_0_0__sa,layers.*/self_attn,/model/layers.0/self_attn/Expand,Broadcast,broadcast:/model/layers.0/self_attn/Expand,broadcast,broadcast_gpu_ref,broadcast_gpu_ref_6456514822857321615_0_0__sa,performance,gtpin_total_execution_cycles,3858404,cycles,1,1024,3858404
n1_i0,0,1,0,n1_i0::kernel::broadcast:/model/layers.0/self_attn/Expand_1::broadcast_gpu_ref_6456514822857321615_0_0__sa,n1_i0::primitive::broadcast:/model/layers.0/self_attn/Expand_1,kernel,broadcast_gpu_ref_6456514822857321615_0_0__sa,layers.*/self_attn,/model/layers.0/self_attn/Expand_1,Broadcast,broadcast:/model/layers.0/self_attn/Expand_1,broadcast,broadcast_gpu_ref,broadcast_gpu_ref_6456514822857321615_0_0__sa,performance,gtpin_total_execution_cycles,4032488,cycles,1,1024,4032488
n1_i0,0,1,0,n1_i0::kernel::broadcast:/model/layers.1/self_attn/Expand::broadcast_gpu_ref_6456514822857321615_0_0__sa,n1_i0::primitive::broadcast:/model/layers.1/self_attn/Expand,kernel,broadcast_gpu_ref_6456514822857321615_0_0__sa,layers.*/self_attn,/model/layers.1/self_attn/Expand,Broadcast,broadcast:/model/layers.1/self_attn/Expand,broadcast,broadcast_gpu_ref,broadcast_gpu_ref_6456514822857321615_0_0__sa,performance,gtpin_total_execution_cycles,5962774,cycles,1,1024,5962774
n1_i0,0,1,0,n1_i0::kernel::broadcast:/model/layers.1/self_attn/Expand_1::broadcast_gpu_ref_6456514822857321615_0_0__sa,n1_i0::primitive::broadcast:/model/layers.1/self_attn/Expand_1,kernel,broadcast_gpu_ref_6456514822857321615_0_0__sa,layers.*/self_attn,/model/layers.1/self_attn/Expand_1,Broadcast,broadcast:/model/layers.1/self_attn/Expand_1,broadcast,broadcast_gpu_ref,broadcast_gpu_ref_6456514822857321615_0_0__sa,performance,gtpin_total_execution_cycles,3800384,cycles,1,1024,3800384
n1_i0,0,1,0,n1_i0::kernel::broadcast:/model/layers.10/self_attn/Expand::broadcast_gpu_ref_6456514822857321615_0_0__sa,n1_i0::primitive::broadcast:/model/layers.10/self_attn/Expand,kernel,broadcast_gpu_ref_6456514822857321615_0_0__sa,layers.*/self_attn,/model/layers.10/self_attn/Expand,Broadcast,broadcast:/model/layers.10/self_attn/Expand,broadcast,broadcast_gpu_ref,broadcast_gpu_ref_6456514822857321615_0_0__sa,performance,gtpin_total_execution_cycles,6656254,cycles,1,1024,6656254
